DATE,SYMBOL,CLOSE_PRICE,PRICE_CHANGE_PCT,AVG_SENTIMENT,SENTIMENT_CATEGORY,CREATED_AT
2025-08-19,AAPL,230.56,,0,Neutral,2026-01-11 11:57:40.650
2025-08-19,AAPL,230.56,,0,Neutral,2026-01-11 11:57:40.650
2025-08-20,AAPL,226.01,-1.97,0,Neutral,2026-01-11 11:57:40.650
2025-08-20,AAPL,226.01,-1.97,0,Neutral,2026-01-11 11:57:40.650
2025-08-21,AAPL,224.9,-0.49,0,Neutral,2026-01-11 11:57:40.650
2025-08-21,AAPL,224.9,-0.49,0,Neutral,2026-01-11 11:57:40.650
2025-08-22,AAPL,227.76,1.27,0,Neutral,2026-01-11 11:57:40.650
2025-08-22,AAPL,227.76,1.27,0,Neutral,2026-01-11 11:57:40.650
2025-08-25,AAPL,227.16,-0.26,0,Neutral,2026-01-11 11:57:40.650
2025-08-25,AAPL,227.16,-0.26,0,Neutral,2026-01-11 11:57:40.650
2025-08-26,AAPL,229.31,0.95,0,Neutral,2026-01-11 11:57:40.650
2025-08-26,AAPL,229.31,0.95,0,Neutral,2026-01-11 11:57:40.650
2025-08-27,AAPL,230.49,0.51,0,Neutral,2026-01-11 11:57:40.650
2025-08-27,AAPL,230.49,0.51,0,Neutral,2026-01-11 11:57:40.650
2025-08-28,AAPL,232.56,0.9,0,Neutral,2026-01-11 11:57:40.650
2025-08-28,AAPL,232.56,0.9,0,Neutral,2026-01-11 11:57:40.650
2025-08-29,AAPL,232.14,-0.18,0,Neutral,2026-01-11 11:57:40.650
2025-08-29,AAPL,232.14,-0.18,0,Neutral,2026-01-11 11:57:40.650
2025-09-02,AAPL,229.72,-1.04,0,Neutral,2026-01-11 11:57:40.650
2025-09-02,AAPL,229.72,-1.04,0,Neutral,2026-01-11 11:57:40.650
2025-09-03,AAPL,238.47,3.81,0,Neutral,2026-01-11 11:57:40.650
2025-09-03,AAPL,238.47,3.81,0,Neutral,2026-01-11 11:57:40.650
2025-09-04,AAPL,239.78,0.55,0,Neutral,2026-01-11 11:57:40.650
2025-09-04,AAPL,239.78,0.55,0,Neutral,2026-01-11 11:57:40.650
2025-09-05,AAPL,239.69,-0.04,0,Neutral,2026-01-11 11:57:40.650
2025-09-05,AAPL,239.69,-0.04,0,Neutral,2026-01-11 11:57:40.650
2025-09-08,AAPL,237.88,-0.76,0,Neutral,2026-01-11 11:57:40.650
2025-09-08,AAPL,237.88,-0.76,0,Neutral,2026-01-11 11:57:40.650
2025-09-09,AAPL,234.35,-1.48,0,Neutral,2026-01-11 11:57:40.650
2025-09-09,AAPL,234.35,-1.48,0,Neutral,2026-01-11 11:57:40.650
2025-09-10,AAPL,226.79,-3.23,0,Neutral,2026-01-11 11:57:40.650
2025-09-10,AAPL,226.79,-3.23,0,Neutral,2026-01-11 11:57:40.650
2025-09-11,AAPL,230.03,1.43,0,Neutral,2026-01-11 11:57:40.650
2025-09-11,AAPL,230.03,1.43,0,Neutral,2026-01-11 11:57:40.650
2025-09-12,AAPL,234.07,1.76,0,Neutral,2026-01-11 11:57:40.650
2025-09-12,AAPL,234.07,1.76,0,Neutral,2026-01-11 11:57:40.650
2025-09-15,AAPL,236.7,1.12,0,Neutral,2026-01-11 11:57:40.650
2025-09-15,AAPL,236.7,1.12,0,Neutral,2026-01-11 11:57:40.650
2025-09-16,AAPL,238.15,0.61,0,Neutral,2026-01-11 11:57:40.650
2025-09-16,AAPL,238.15,0.61,0,Neutral,2026-01-11 11:57:40.650
2025-09-17,AAPL,238.99,0.35,0,Neutral,2026-01-11 11:57:40.650
2025-09-17,AAPL,238.99,0.35,0,Neutral,2026-01-11 11:57:40.650
2025-09-18,AAPL,237.88,-0.46,0,Neutral,2026-01-11 11:57:40.650
2025-09-18,AAPL,237.88,-0.46,0,Neutral,2026-01-11 11:57:40.650
2025-09-19,AAPL,245.5,3.2,0,Neutral,2026-01-11 11:57:40.650
2025-09-19,AAPL,245.5,3.2,0,Neutral,2026-01-11 11:57:40.650
2025-09-22,AAPL,256.08,4.31,0,Neutral,2026-01-11 11:57:40.650
2025-09-22,AAPL,256.08,4.31,0,Neutral,2026-01-11 11:57:40.650
2025-09-23,AAPL,254.43,-0.64,0,Neutral,2026-01-11 11:57:40.650
2025-09-23,AAPL,254.43,-0.64,0,Neutral,2026-01-11 11:57:40.650
2025-09-24,AAPL,252.31,-0.83,0,Neutral,2026-01-11 11:57:40.650
2025-09-24,AAPL,252.31,-0.83,0,Neutral,2026-01-11 11:57:40.650
2025-09-25,AAPL,256.87,1.81,0,Neutral,2026-01-11 11:57:40.650
2025-09-25,AAPL,256.87,1.81,0,Neutral,2026-01-11 11:57:40.650
2025-09-26,AAPL,255.46,-0.55,0,Neutral,2026-01-11 11:57:40.650
2025-09-26,AAPL,255.46,-0.55,0,Neutral,2026-01-11 11:57:40.650
2025-09-29,AAPL,254.43,-0.4,0,Neutral,2026-01-11 11:57:40.650
2025-09-29,AAPL,254.43,-0.4,0,Neutral,2026-01-11 11:57:40.650
2025-09-30,AAPL,254.63,0.08,0,Neutral,2026-01-11 11:57:40.650
2025-09-30,AAPL,254.63,0.08,0,Neutral,2026-01-11 11:57:40.650
2025-10-01,AAPL,255.45,0.32,0,Neutral,2026-01-11 11:57:40.650
2025-10-01,AAPL,255.45,0.32,0,Neutral,2026-01-11 11:57:40.650
2025-10-02,AAPL,257.13,0.66,0,Neutral,2026-01-11 11:57:40.650
2025-10-02,AAPL,257.13,0.66,0,Neutral,2026-01-11 11:57:40.650
2025-10-03,AAPL,258.02,0.35,0,Neutral,2026-01-11 11:57:40.650
2025-10-03,AAPL,258.02,0.35,0,Neutral,2026-01-11 11:57:40.650
2025-10-06,AAPL,256.69,-0.52,0,Neutral,2026-01-11 11:57:40.650
2025-10-06,AAPL,256.69,-0.52,0,Neutral,2026-01-11 11:57:40.650
2025-10-07,AAPL,256.48,-0.08,0,Neutral,2026-01-11 11:57:40.650
2025-10-07,AAPL,256.48,-0.08,0,Neutral,2026-01-11 11:57:40.650
2025-10-08,AAPL,258.06,0.62,0,Neutral,2026-01-11 11:57:40.650
2025-10-08,AAPL,258.06,0.62,0,Neutral,2026-01-11 11:57:40.650
2025-10-09,AAPL,254.04,-1.56,0,Neutral,2026-01-11 11:57:40.650
